index,propertyCode,price,log_price,nom_comar,municipality,propertyType,size,cat_size,rooms,bathrooms,floor_grouped,hasLift,latitude,longitude
3840,106661860,144000.0,11.87757552297847,Vallès Occidental,Terrassa,flat,90.0,Mediana,3,1,0,1,41.56543,2.0241724
3841,108816139,337000.0,12.727841176689147,Barcelonès,Barcelona,flat,59.0,Mediana,3,2,3-4,1,41.3774267,2.1651363
3842,108816066,480000.0,13.081543466215237,Vallès Occidental,Montcada i Reixac,flat,101.0,Grande,3,2,1,1,41.4942871,2.1776422
3843,108816035,240000.0,12.388398368982115,Vallès Oriental,Castellterçol,chalet,108.0,Grande,4,2,0,0,41.7509936,2.1256699
3844,108816020,459000.0,13.036807667689546,Baix Llobregat,Sant Boi de Llobregat,chalet,214.0,Muy Grande,4,3,0,0,41.3532462,2.0274232
3845,108815995,395000.0,12.886643575525625,Barcelonès,Barcelona,flat,60.0,Mediana,2,1,0,1,41.3849776,2.177414
3846,108816019,355000.0,12.779875885354993,Garraf,Vilanova i la Geltrú,flat,116.0,Grande,4,2,3-4,1,41.2255469,1.7189801
3847,104357583,333500.0,12.717401142834069,Vallès Occidental,Sabadell,flat,78.0,Mediana,3,2,0,1,41.5468822,2.0994311
3848,108816023,208000.0,12.245298166364206,Barcelonès,Hospitalet de Llobregat,flat,60.0,Mediana,3,1,1,1,41.3734655,2.110194
3849,108816056,159500.0,11.979805470779858,Barcelonès,Hospitalet de Llobregat,flat,63.0,Mediana,3,1,2,0,41.3727135,2.1217634
3850,108816052,197000.0,12.190964083849375,Barcelonès,Hospitalet de Llobregat,flat,68.0,Mediana,3,1,2,1,41.3731979,2.1031116
3851,108816050,157500.0,11.967187086434018,Barcelonès,Hospitalet de Llobregat,flat,50.0,Pequeña,2,1,3-4,0,41.3711628,2.103494
3852,108815985,242000.0,12.396697137361691,Barcelonès,Hospitalet de Llobregat,flat,75.0,Mediana,3,1,2,1,41.3735898,2.109044
3853,108815992,205500.0,12.233206179086634,Barcelonès,Hospitalet de Llobregat,flat,72.0,Mediana,3,1,1,1,41.3672528,2.1024729
3854,108816015,249000.0,12.425212191503038,Barcelonès,Hospitalet de Llobregat,flat,81.0,Mediana,3,1,0,1,41.371995,2.1053495
3855,108325261,545000.0,13.208542908506082,Barcelonès,Barcelona,flat,118.0,Grande,4,2,3-4,1,41.362356,2.1348709
3856,108815998,212500.0,12.26670197321789,Barcelonès,Hospitalet de Llobregat,flat,61.0,Mediana,3,1,2,1,41.3677181,2.1108508
3857,108815913,189500.0,12.15214958053555,Barcelonès,Hospitalet de Llobregat,flat,84.0,Mediana,3,1,3-4,0,41.3681474,2.1128058
3858,108815912,194500.0,12.178192583415596,Barcelonès,Hospitalet de Llobregat,flat,64.0,Mediana,3,1,0,1,41.3691442,2.1133202
3859,108815959,360000.0,12.793862088206213,Alt Penedès,La Granada,chalet,306.0,Muy Grande,3,3,0,0,41.3755518,1.7214349
3860,108815958,231000.0,12.35017731849889,Barcelonès,Hospitalet de Llobregat,flat,71.0,Mediana,3,1,0,1,41.3680147,2.1131994
3861,108815942,203500.0,12.223426197857627,Barcelonès,Hospitalet de Llobregat,flat,67.0,Mediana,3,1,3-4,0,41.3703644,2.1218485
3862,108815936,191000.0,12.160033942617156,Barcelonès,Barcelona,flat,61.0,Mediana,3,1,2,0,41.4471235,2.1719474
3863,108815894,187000.0,12.138869243416009,Barcelonès,Barcelona,flat,56.0,Mediana,2,1,0,1,41.4401931,2.1761934
3864,108815906,240000.0,12.388398368982115,Barcelonès,Barcelona,flat,86.0,Mediana,3,1,2,0,41.4440726,2.1709811
3865,108815889,193500.0,12.173037959397275,Barcelonès,Barcelona,flat,60.0,Mediana,3,1,1,0,41.4444503,2.1748601
3866,108815843,212500.0,12.26670197321789,Barcelonès,Barcelona,flat,90.0,Mediana,3,1,2,0,41.4480899,2.1719038
3867,108815789,135000.0,11.813037464800539,Barcelonès,Santa Coloma de Gramenet,flat,47.0,Pequeña,2,1,0,0,41.4494478,2.219498
3868,108815643,203500.0,12.223426197857627,Barcelonès,Barcelona,flat,63.0,Mediana,3,1,2,1,41.4437001,2.1726658
3869,108815876,439000.0,12.992256969959042,Garraf,Sitges,flat,105.0,Grande,3,1,1,1,41.2371562,1.8085648
3870,108815805,225500.0,12.326079872504838,Barcelonès,Barcelona,flat,70.0,Mediana,4,1,1,1,41.4465334,2.1755397
3871,108815856,315500.0,12.66191713053049,Barcelonès,Barcelona,flat,58.0,Mediana,3,1,2,1,41.3726924,2.1288776
3872,108815825,185500.0,12.130815551850676,Barcelonès,Badalona,flat,75.0,Mediana,3,1,3-4,0,41.4634529,2.2521167
3873,108815837,225500.0,12.326079872504838,Vallès Oriental,Mollet del Vallès,flat,82.0,Mediana,3,1,3-4,1,41.5438387,2.2073728
3874,108815724,129000.0,11.767575435251748,Barcelonès,Sant Adriá de Besós,flat,77.0,Mediana,3,1,5+,1,41.4169233,2.2210093
3875,108815588,725000.0,13.493928313146206,Barcelonès,Barcelona,flat,131.0,Grande,4,1,5+,1,41.3816453,2.1547345
3876,108815615,295000.0,12.59473402514672,Vallès Oriental,La Garriga,duplex,139.0,Grande,3,2,1,0,41.6823865,2.2898943
3877,108815590,285000.0,12.560247968016562,Vallès Occidental,Sabadell,flat,134.0,Grande,4,2,3-4,1,41.5485268,2.0879313
3878,108815507,132000.0,11.790564777297387,Maresme,Mataró,flat,64.0,Mediana,3,1,1,0,41.5362829,2.4269531
3879,108749004,340000.0,12.73670383776449,Baix Llobregat,Esplugues de Llobregat,flat,110.0,Grande,2,1,0,1,41.3711192,2.0874123
3881,108815483,439000.0,12.992256969959042,Vallès Oriental,Granollers,chalet,289.0,Muy Grande,5,3,0,0,41.5959711,2.2891494
3882,108815504,229900.0,12.345404060459082,Barcelonès,Hospitalet de Llobregat,flat,74.0,Mediana,3,1,5+,1,41.3506787,2.1094106
3883,108815243,650000.0,13.384729180332174,Baix Llobregat,Pallejà,chalet,345.0,Muy Grande,6,4,0,0,41.4199771,1.9641768
3884,108815487,530000.0,13.180634172318978,Baix Llobregat,Santa Coloma de Cervelló,chalet,142.0,Grande,3,2,0,0,41.3687913,2.0137383
3885,108815428,229000.0,12.34148164933907,Barcelonès,Hospitalet de Llobregat,flat,69.0,Mediana,2,1,2,1,41.3665242,2.1122949
3886,108815308,175000.0,12.07254696717504,Barcelonès,Barcelona,flat,43.0,Pequeña,1,1,2,0,41.3768497,2.1695566
3887,108815301,385000.0,12.861001210669146,Vallès Occidental,Terrassa,chalet,234.0,Muy Grande,3,2,0,0,41.5593742,1.9986809
3888,108815266,356000.0,12.782688818818986,Vallès Occidental,Terrassa,chalet,225.0,Muy Grande,3,2,0,0,41.5361783,1.9840114
3889,108815286,550000.0,13.217675375388819,Baix Llobregat,Castelldefels,flat,125.0,Grande,4,2,0,1,41.2868973,1.9852281
3890,108815287,355000.0,12.779875885354993,Barcelonès,Barcelona,flat,51.0,Mediana,2,1,3-4,1,41.3776248,2.1534358
3891,108815127,850000.0,13.652992804936396,Barcelonès,Barcelona,countryHouse,267.0,Muy Grande,4,4,0,0,41.4289147,2.190152
3892,108815194,242000.0,12.396697137361691,Vallès Occidental,Terrassa,flat,128.0,Grande,3,2,3-4,1,41.5728096,2.0286657
3893,108806654,195000.0,12.180759965737863,Maresme,Sant Cebrià de Vallalta,chalet,70.0,Mediana,2,1,0,0,41.6385315,2.5901797
3894,108815087,445000.0,13.005831808336863,Barcelonès,Barcelona,flat,82.0,Mediana,2,1,0,0,41.4035859,2.1978618
3895,108815086,217000.0,12.28765724080691,Barcelonès,Barcelona,flat,71.0,Mediana,2,1,0,1,41.3662581,2.1379977
3897,108814931,275000.0,12.524530013005734,Maresme,Arenys de Munt,chalet,221.0,Muy Grande,3,2,0,0,41.6103436,2.5417883
3898,108814883,590000.0,13.28787951079572,Baix Llobregat,Castelldefels,duplex,70.0,Mediana,2,1,2,0,41.2659219,1.9694992
3899,108814882,347000.0,12.757082940769225,Baix Llobregat,Vallirana,chalet,106.0,Grande,3,2,0,0,41.3873748,1.9403357
3900,108814762,249000.0,12.425212191503038,Baix Llobregat,Corbera de Llobregat,flat,81.0,Mediana,3,2,2,1,41.4163265,1.9245925
3901,108814785,495000.0,13.112315061750808,Maresme,Canet de Mar,penthouse,238.0,Muy Grande,3,2,0,1,41.5854519,2.5798554
3902,108771640,530000.0,13.180634172318978,Vallès Occidental,Rubí,duplex,119.0,Grande,3,3,2,0,41.4770096,2.0354609
3904,108814759,470000.0,13.060490101343552,Barcelonès,Barcelona,flat,95.0,Grande,3,1,2,1,41.4194756,2.1776355
3905,108813841,349000.0,12.762830066509972,Barcelonès,Barcelona,flat,67.0,Mediana,2,1,1,1,41.4121599,2.1813668
3906,108814654,850000.0,13.652992804936396,Barcelonès,Barcelona,chalet,267.0,Muy Grande,4,4,0,0,41.4320167,2.190238
3907,108814739,267700.0,12.497625965026309,Baix Llobregat,Castelldefels,flat,100.0,Grande,4,2,3-4,0,41.286954,1.9788089
3908,108814627,258000.0,12.460718739865236,Maresme,Arenys de Mar,flat,95.0,Grande,3,2,2,1,41.5900859,2.5426637
3909,108814441,220000.0,12.301387370778713,Vallès Oriental,Mollet del Vallès,flat,78.0,Mediana,3,1,2,1,41.5467309,2.211238
3910,108814551,295000.0,12.59473402514672,Garraf,Sitges,flat,71.0,Mediana,3,1,0,0,41.2404238,1.8088624
3911,108814617,435000.0,12.983103608918753,Barcelonès,Barcelona,flat,111.0,Grande,3,1,0,1,41.3861048,2.168683
3912,107663532,297100.0,12.601827427315111,Baix Llobregat,Esplugues de Llobregat,flat,65.0,Mediana,2,1,0,1,41.3704511,2.0809334
3913,108031669,309100.0,12.641423363313939,Baix Llobregat,Esplugues de Llobregat,flat,65.0,Mediana,2,1,0,1,41.3704511,2.0809334
3914,108814585,252800.0,12.440357896943219,Baix Llobregat,Esplugues de Llobregat,flat,46.0,Pequeña,1,1,0,1,41.3704511,2.0809334
