propertyCode,nom_comar,municipality,price_true,price_pred,undervaluation_pct,res_zscore,priority_score,idealista_url
108787717,Barcelonès,Barcelona,110000.99999999971,458521.7634575943,76.0096447395407,6.046040670335127,234.5879714277323,https://www.idealista.com/inmueble/108787717/
108873235,Baix Llobregat,Sant Joan Despí,118001.00000000009,333234.0729876503,64.58915532194895,4.396938105892876,177.12055190215057,https://www.idealista.com/inmueble/108873235/
108900954,Barcelonès,Barcelona,195001.00000000006,508448.1678286742,61.64781145091917,4.058984758319213,164.92301076521983,https://www.idealista.com/inmueble/108900954/
108931814,Maresme,Montgat,350000.9999999997,873559.7224534061,59.933935711113556,3.873823250682602,158.16845251825754,https://www.idealista.com/inmueble/108931814/
108891086,Barcelonès,Barcelona,95001.00000000001,236756.0050697045,59.873879451534805,3.867479506072977,157.93610079826368,https://www.idealista.com/inmueble/108891086/
107194739,Vallès Oriental,Canovelles,135001.0000000002,334285.2565618059,59.61503017257959,3.840245462816649,156.93788500530516,https://www.idealista.com/inmueble/107194739/
108799318,Garraf,Sitges,200000.99999999997,484010.2299710346,58.6783527257329,3.7431338346917036,153.3688619487641,https://www.idealista.com/inmueble/108799318/
108903699,Baix Llobregat,Sant Boi de Llobregat,108001.00000000001,245584.48719484097,56.02287374352169,3.4793429297110596,143.59629951179696,https://www.idealista.com/inmueble/108903699/
108836000,Garraf,Sant Pere de Ribes,96000.99999999996,206367.06017829455,53.480463443604734,3.2413046800539864,134.6754648121429,https://www.idealista.com/inmueble/108836000/
102207079,Garraf,Sitges,359376.0000000002,769193.0669046403,53.278830054177625,3.2229867267587844,133.98478284068787,https://www.idealista.com/inmueble/102207079/
108789018,Baix Llobregat,Sant Vicenç Dels Horts,101000.99999999984,213372.04721086845,52.66437130811988,3.1676481365188667,131.89450401124992,https://www.idealista.com/inmueble/108789018/
108864872,Vallès Occidental,Sabadell,179000.99999999994,377347.6979116086,52.56337828727662,3.158621421964468,131.55300746002766,https://www.idealista.com/inmueble/108864872/
108782071,Anoia,Piera,117000.99999999991,245754.63681611232,52.391132262726444,3.1432703910432007,130.97190431520454,https://www.idealista.com/inmueble/108782071/
106781787,Maresme,Sant Iscle de Vallalta,287001.0000000001,590748.442798083,51.417392039051606,3.0575190869143527,127.7177470347667,https://www.idealista.com/inmueble/106781787/
108801426,Maresme,Pineda de Mar,98001.00000000003,191039.32584180622,48.70113806769208,2.827103464855011,118.90390059303479,https://www.idealista.com/inmueble/108801426/
108830226,Vallès Occidental,Sabadell,132000.9999999999,251465.24422547003,47.50725874401772,2.729663584696588,115.14498866171004,https://www.idealista.com/inmueble/108830226/
108695513,Vallès Occidental,Rubí,117500.99999999975,222428.82321528997,47.173662881689594,2.702832734586186,114.1065460547683,https://www.idealista.com/inmueble/108695513/
108907196,Vallès Oriental,La Garriga,136301.0000000001,256724.39435768465,46.90765544855199,2.6815591098408538,113.282132109212,https://www.idealista.com/inmueble/108907196/
108091788,Vallès Oriental,Canovelles,110000.99999999971,202371.3753908535,45.64399249273898,2.581933522515598,109.40880042038523,https://www.idealista.com/inmueble/108091788/
108785396,Alt Penedès,Subirats,169001.00000000012,308205.1670753165,45.1660718073876,2.544857309677284,107.96196955548984,https://www.idealista.com/inmueble/108785396/
108921756,Osona,Vic,90001.00000000001,157727.62318936383,42.93897404898629,2.3762386970388936,101.3444427454572,https://www.idealista.com/inmueble/108921756/
103942472,Bages,Sant Vicenç de Castellet,96000.99999999996,164150.66207376044,41.516531954734184,2.271952541539026,97.22014861448469,https://www.idealista.com/inmueble/103942472/
108860867,Bages,Monistrol de Montserrat,178000.99999999994,287524.5375182099,38.09189242197232,2.0309312981293055,87.59226363925978,https://www.idealista.com/inmueble/108860867/
108865845,Bages,Cardona,112000.99999999984,179431.2301727187,37.57998543944173,1.9960539457700706,86.18760818071132,https://www.idealista.com/inmueble/108865845/
108581549,Osona,Vic,140000.9999999999,224165.6014399155,37.54572552581166,1.993729964511467,86.09390680341217,https://www.idealista.com/inmueble/108581549/
108895686,Anoia,Masquefa,245000.99999999997,391390.40913473594,37.40240070224651,1.9840214948500652,85.70232533707451,https://www.idealista.com/inmueble/108895686/
108784117,Alt Penedès,Torrelavit,95001.00000000001,151490.8268747079,37.289272255031264,1.9763741374477015,85.39371470195293,https://www.idealista.com/inmueble/108784117/
108793148,Anoia,Igualada,149001.0,234755.65108962907,36.52932344401293,1.9253572909767762,83.33124514011234,https://www.idealista.com/inmueble/108793148/
108917103,Osona,Sant Boi de Lluçanès,210001.0,329691.2216589411,36.303733249761265,1.910330514829223,82.72252871970957,https://www.idealista.com/inmueble/108917103/
108915907,Alt Penedès,Vilafranca del Penedès,149001.0,233785.10230615904,36.265827663872244,1.9078108114272323,82.62040370752754,https://www.idealista.com/inmueble/108915907/
107512531,Berguedà,La Pobla de Lillet,166000.99999999974,259599.6401867184,36.05499611609529,1.8938234661620261,82.05320126612749,https://www.idealista.com/inmueble/107512531/
108908331,Berguedà,Puig-Reig,93001.00000000007,141445.21419762776,34.24945444243964,1.7758919512598015,77.25137664750179,https://www.idealista.com/inmueble/108908331/
102888367,Berguedà,Berga,130001.00000000032,184275.78446579818,29.453020440605602,1.4776771111900502,64.94742764412543,https://www.idealista.com/inmueble/102888367/
