propertyCode,nom_comar,municipality,price_true,price_pred,abs_error,idealista_url,undervaluation_pct,y_pred_log,y_true_log,res_log,res_zscore,priority_score
108787717,Barcelonès,Barcelona,110000.99999999971,458521.7634575943,348520.7634575946,https://www.idealista.com/inmueble/108787717/,76.0096447395407,13.03576303619903,11.60824473564232,1.4275183005567111,6.046040670335127,234.5879714277323
108873235,Baix Llobregat,Sant Joan Despí,118001.00000000009,333234.0729876503,215233.0729876502,https://www.idealista.com/inmueble/108873235/,64.58915532194895,12.716600443913538,11.678448377988165,1.0381520659253738,4.396938105892876,177.12055190215057
108900954,Barcelonès,Barcelona,195001.00000000006,508448.1678286742,313447.16782867414,https://www.idealista.com/inmueble/108900954/,61.64781145091917,13.13911855776835,12.180759965737863,0.9583585920304873,4.058984758319213,164.92301076521983
108931814,Maresme,Montgat,350000.9999999997,873559.7224534061,523558.7224534064,https://www.idealista.com/inmueble/108931814/,59.933935711113556,13.680331777659676,12.765691290604371,0.9146404870553049,3.873823250682602,158.16845251825754
108891086,Barcelonès,Barcelona,95001.00000000001,236756.0050697045,141755.0050697045,https://www.idealista.com/inmueble/108891086/,59.873879451534805,12.374785375329413,11.461642696843066,0.9131426784863468,3.867479506072977,157.93610079826368
107194739,Vallès Oriental,Canovelles,135001.0000000002,334285.2565618059,199284.2565618057,https://www.idealista.com/inmueble/107194739/,59.61503017257959,12.719749969018078,11.81303746480054,0.9067125042175377,3.840245462816649,156.93788500530516
108799318,Garraf,Sitges,200000.99999999997,484010.2299710346,284009.2299710347,https://www.idealista.com/inmueble/108799318/,58.6783527257329,13.08986132177919,12.206077645517674,0.8837836762615172,3.7431338346917036,153.3688619487641
107917127,Barcelonès,Hospitalet de Llobregat,96000.99999999996,228855.0684943019,132854.06849430193,https://www.idealista.com/inmueble/107917127/,58.05161728266891,12.34084419350663,11.472113887062386,0.8687303064442435,3.679377533910594,151.01745811518606
104890657,Barcelonès,Barcelona,150001.00000000006,341407.38825545955,191406.3882554595,https://www.idealista.com/inmueble/104890657/,56.06392680413783,12.740831730161212,11.918397239722838,0.8224344904383738,3.483298515989296,143.74370424257535
108903699,Baix Llobregat,Sant Boi de Llobregat,108001.00000000001,245584.48719484097,137583.48719484097,https://www.idealista.com/inmueble/108903699/,56.02287374352169,12.41139631037281,11.58989576532275,0.8215005450500605,3.4793429297110596,143.59629951179696
108784433,Barcelonès,Barcelona,270000.9999999996,610542.5293433568,340541.52934335725,https://www.idealista.com/inmueble/108784433/,55.77687269543897,13.322103233240615,12.506180941677355,0.8159222915632593,3.45571706975712,142.71532297952086
103088582,Barcelonès,Badalona,95001.00000000001,210340.2669231685,115339.26692316848,https://www.idealista.com/inmueble/103088582/,54.834610895163856,12.256481817081337,11.461642696843066,0.7948391202382705,3.3664224447839657,139.37690097013365
108789937,Barcelonès,Barcelona,110000.99999999971,240875.0036961352,130874.00369613548,https://www.idealista.com/inmueble/108789937/,54.33274590053917,12.392033421061287,11.60824473564232,0.7837886854189673,3.319619977651783,137.6215214599309
108780512,Barcelonès,Barcelona,190000.9999999999,409500.34275951266,219499.34275951274,https://www.idealista.com/inmueble/108780512/,53.60174823795402,12.922693019294478,12.154784614286667,0.7679084050078107,3.2523614204867117,135.09206638116916
108836000,Garraf,Sant Pere de Ribes,96000.99999999996,206367.06017829455,110366.06017829459,https://www.idealista.com/inmueble/108836000/,53.480463443604734,12.237411707693935,11.472113887062386,0.7652978206315488,3.2413046800539864,134.6754648121429
108799437,Barcelonès,Hospitalet de Llobregat,108655.99999999988,233162.61226989122,124506.61226989134,https://www.idealista.com/inmueble/108799437/,53.39904672442595,12.359491395861912,11.595942207353572,0.7635491885083407,3.233898609721825,134.3962909987529
102207079,Garraf,Sitges,359376.0000000002,769193.0669046403,409817.0669046401,https://www.idealista.com/inmueble/102207079/,53.278830054177625,13.553097279271638,12.792124473138577,0.7609728061330614,3.2229867267587844,133.98478284068787
108789018,Baix Llobregat,Sant Vicenç Dels Horts,101000.99999999984,213372.04721086845,112371.04721086861,https://www.idealista.com/inmueble/108789018/,52.66437130811988,12.270792621504766,11.52288569676448,0.7479069247402865,3.1676481365188667,131.89450401124992
108864872,Vallès Occidental,Sabadell,179000.99999999994,377347.6979116086,198346.69791160867,https://www.idealista.com/inmueble/108864872/,52.56337828727662,12.840922317022903,12.095146671399466,0.7457756456234375,3.158621421964468,131.55300746002766
108782071,Anoia,Piera,117000.99999999991,245754.63681611232,128753.63681611241,https://www.idealista.com/inmueble/108782071/,52.391132262726444,12.412088905852217,11.669937760751914,0.7421511451003031,3.1432703910432007,130.97190431520454
102874797,Baix Llobregat,Sant Boi de Llobregat,217001.00000000012,451076.0012560257,234075.00125602557,https://www.idealista.com/inmueble/102874797/,51.89258586230289,13.019391121484784,12.28765724080691,0.7317338806778739,3.0991496226109643,129.29929878194093
108873035,Barcelonès,Barcelona,270000.9999999996,559680.4370146187,289679.43701461906,https://www.idealista.com/inmueble/108873035/,51.7580065081054,13.235121251641505,12.506180941677355,0.72894030996415,3.0873178708610607,128.8501406815056
108424868,Barcelonès,Barcelona,103001.00000000001,213113.1749949618,110112.17499496178,https://www.idealista.com/inmueble/108424868/,51.668403418777345,12.269578641586023,11.542493975902508,0.727084665683515,3.079458566510273,128.55163938845232
108815430,Barcelonès,Santa Coloma de Gramenet,226000.9999999998,466438.47214589315,240437.47214589335,https://www.idealista.com/inmueble/108815430/,51.547521592663365,13.05288139806483,12.328294703023394,0.7245866950414364,3.068878784738354,128.14962865701497
